Species,Family,Order,Class,Common name
Acropora yongei,Acroporidae,Scleractinia,Anthozoa,
Acropora florida,Acroporidae,Scleractinia,Anthozoa,
Acropora aspera,Acroporidae,Scleractinia,Anthozoa,
Acropora hyacinthus,Acroporidae,Scleractinia,Anthozoa,
Acropora horrida,Acroporidae,Scleractinia,Anthozoa,
Acropora muricata,Acroporidae,Scleractinia,Anthozoa,
Acropora humilis,Acroporidae,Scleractinia,Anthozoa,
Anacropora matthai,Acroporidae,Scleractinia,Anthozoa,
Montipora cactus,Acroporidae,Scleractinia,Anthozoa,
Acropora tenuis,Acroporidae,Scleractinia,Anthozoa,
Pavona decussata,Agariciidae,Scleractinia,Anthozoa,
Pavona clavus,Agariciidae,Scleractinia,Anthozoa,
Agaricia humilis,Agariciidae,Scleractinia,Anthozoa,lowrelief saucer coral
Solenosmilia variabilis,Caryophylliidae,Scleractinia,Anthozoa,
Polycyathus sp.,Caryophylliidae,Scleractinia,Anthozoa,
Euphyllia ancora,Caryophylliidae,Scleractinia,Anthozoa,
Lophelia pertusa,Caryophylliidae,Scleractinia,Anthozoa,
Dendrophyllia cribrosa,Dendrophylliidae,Scleractinia,Anthozoa,
Tubastraea coccinea,Dendrophylliidae,Scleractinia,Anthozoa,orange cup coral
Turbinaria peltata,Dendrophylliidae,Scleractinia,Anthozoa,
Platygyra carnosus,Faviidae,Scleractinia,Anthozoa,
Colpophyllia natans,Faviidae,Scleractinia,Anthozoa,boulder brain coral
Montastraea annularis,Faviidae,Scleractinia,Anthozoa,boulder star coral
Montastraea franksi,Faviidae,Scleractinia,Anthozoa,
Montastraea faveolata,Faviidae,Scleractinia,Anthozoa,
Fungiacyathus stephanus,Fungiacyathidae,Scleractinia,Anthozoa,
Mussa angulosa,Mussidae,Scleractinia,Anthozoa,large flower coral
Madrepora oculata,Oculinidae,Scleractinia,Anthozoa,
Madracis mirabilis,Pocilloporidae,Scleractinia,Anthozoa,striate finger coral
Stylophora pistillata,Pocilloporidae,Scleractinia,Anthozoa,
Seriatopora caliendrum,Pocilloporidae,Scleractinia,Anthozoa,
Seriatopora hystrix,Pocilloporidae,Scleractinia,Anthozoa,
Pocillopora eydouxi,Pocilloporidae,Scleractinia,Anthozoa,
Pocillopora damicornis,Pocilloporidae,Scleractinia,Anthozoa,
Porites panamensis,Poritidae,Scleractinia,Anthozoa,
Porites porites,Poritidae,Scleractinia,Anthozoa,
Porites okinawensis,Poritidae,Scleractinia,Anthozoa,
Goniopora columna,Poritidae,Scleractinia,Anthozoa,
Astrangia sp.,Rhizangiidae,Scleractinia,Anthozoa,
Pseudosiderastrea tayami,Siderastreidae,Scleractinia,Anthozoa,
Pseudosiderastrea formosa,Siderastreidae,Scleractinia,Anthozoa,
Siderastrea radians,Siderastreidae,Scleractinia,Anthozoa,lesser starlet coral
Damon diadema,Phrynichidae,Amblypygi,Arachnida,
Phrynus sp.,Phrynidae,Amblypygi,Arachnida,
Neoscona theisi,Araneidae,Araneae,Arachnida,
Araneus ventricosus,Araneidae,Araneae,Arachnida,
Argiope amoena,Araneidae,Araneae,Arachnida,
Argiope bruennichi,Araneidae,Araneae,Arachnida,
Argyroneta aquatica,Cybaeidae,Araneae,Arachnida,European water spider
Phyxioschema suthepium,Dipluridae,Araneae,Arachnida,
Hypochilus thorelli,Hypochilidae,Araneae,Arachnida,
Liphistius erawan,Liphistiidae,Araneae,Arachnida,
Heptathela hangzhouensis / Songthela hangzhouensis,Liphistiidae,Araneae,Arachnida,
Wadicosa fidelis,Lycosidae,Araneae,Arachnida,
Pirata subpiraticus,Lycosidae,Araneae,Arachnida,
Pardosa laura,Lycosidae,Araneae,Arachnida,
Calisoga longitarsis / Brachythele longitarsis,Nemesiidae,Araneae,Arachnida,
Nephila clavata,Nephilidae,Araneae,Arachnida,
Oxyopes sertatus,Oxyopidae,Araneae,Arachnida,
Pholcus phalangioides,Pholcidae,Araneae,Arachnida,longbodied cellar spider
Plexippus paykulli,Salticidae,Araneae,Arachnida,pantropical jumper
Telamonia vlijmi,Salticidae,Araneae,Arachnida,
Habronattus oregonensis,Salticidae,Araneae,Arachnida,
Selenops bursarius,Selenopidae,Araneae,Arachnida,
Tetragnatha maxillosa,Tetragnathidae,Araneae,Arachnida,
Ornithoctonus huwena / Haplopelma schmidti,Theraphosidae,Araneae,Arachnida,
Oxytate striatipes,Thomisidae,Araneae,Arachnida,
Paratemnoides elongatus,Atemnidae,Pseudoscorpiones,Arachnida,
Pseudogarypus banksi,Pseudogarypidae,Pseudoscorpiones,Arachnida,
Ricinoides karschii,Ricinoididae,Ricinulei,Arachnida,
Pseudocellus gertschi,Ricinoididae,Ricinulei,Arachnida,
Cryptocellus narino,Ricinoididae,Ricinulei,Arachnida,
Pseudocellus pearsei,Ricinoididae,Ricinulei,Arachnida,
Steganacarus magnus,Phthiracaridae,Sarcoptiformes,Arachnida,
Nothopuga sp.,Ammotrechidae,Solifugae,Arachnida,
Eremobates cf.,Eremobatidae,Solifugae,Arachnida,
Unionicola parkeri,Unionicolidae,Trombidiformes,Arachnida,
Unionicola foili,Unionicolidae,Trombidiformes,Arachnida,
Mastigoproctus giganteus,Thelyphonidae,Uropygi,Arachnida,
Macracanthorhynchus hirudinaceus,Oligacanthorhynchidae,Oligacanthorhynchida,Archiacanthocephala,
Oncicola luehei,Oligacanthorhynchidae,Oligacanthorhynchida,Archiacanthocephala,
Ascidiella aspersa,Ascidiidae,Enterogona,Ascidiacea,
Ciona savignyi,Cionidae,Enterogona,Ascidiacea,
Clavelina phlegraea,Clavelinidae,Enterogona,Ascidiacea,
Clavelina lepadiformis,Clavelinidae,Enterogona,Ascidiacea,
Rhodosoma turcicum,Corellidae,Enterogona,Ascidiacea,
Didemnum vexillum,Didemnidae,Enterogona,Ascidiacea,
Diplosoma listerianum,Didemnidae,Enterogona,Ascidiacea,
Aplidium conicum,Polyclinidae,Enterogona,Ascidiacea,
Halocynthia spinosa,Pyuridae,Pleurogona,Ascidiacea,
Pyura gangelion,Pyuridae,Pleurogona,Ascidiacea,
Microcosmus sulcatus,Pyuridae,Pleurogona,Ascidiacea,
Herdmania momus,Pyuridae,Pleurogona,Ascidiacea,
Halocynthia roretzi,Pyuridae,Pleurogona,Ascidiacea,
Botrylloides violaceus,Styelidae,Pleurogona,Ascidiacea,
Botrylloides pizoni,Styelidae,Pleurogona,Ascidiacea,
Botrylloides leachii,Styelidae,Pleurogona,Ascidiacea,
Botrylloides nigrum,Styelidae,Pleurogona,Ascidiacea,
Polycarpa mytiligera,Styelidae,Pleurogona,Ascidiacea,
Botryllus schlosseri,Styelidae,Pleurogona,Ascidiacea,
Styela plicata,Styelidae,Pleurogona,Ascidiacea,
Phallusia fumigata,Styelidae,Pleurogona,Ascidiacea,
Phallusia mammillata,Styelidae,Pleurogona,Ascidiacea,
Asterias amurensis,Asteriidae,Forcipulatida,Asteroidea,
Pisaster ochraceus,Asteriidae,Forcipulatida,Asteroidea,
Astropecten polyacanthus,Astropectinidae,Paxillosida,Asteroidea,
Luidia quinaria,Luidiidae,Paxillosida,Asteroidea,
Acanthaster brevispinus,Acanthasteridae,Spinulosida,Asteroidea,
Acanthaster planci,Acanthasteridae,Spinulosida,Asteroidea,
Patiria pectinifera,Asterinidae,Spinulosida,Asteroidea,
Accipiter virgatus,Accipitridae,Accipitriformes,Aves,Besra
Accipiter nisus,Accipitridae,Accipitriformes,Aves,Eurasian Sparrowhawk
Aquila chrysaetos,Accipitridae,Accipitriformes,Aves,Aigle royal
Aegypius monachus,Accipitridae,Accipitriformes,Aves,Cinereous Vulture
Accipiter gentilis,Accipitridae,Accipitriformes,Aves,Autour des palombes
Spilornis cheela,Accipitridae,Accipitriformes,Aves,Crested Serpent Eagle
Nisaetus alboniger,Accipitridae,Accipitriformes,Aves,Blyth's Hawk-Eagle
Nisaetus nipalensis,Accipitridae,Accipitriformes,Aves,Mountain Hawk-Eagle
Buteo buteo,Accipitridae,Accipitriformes,Aves,Common Buzzard
Cathartes aura,Cathartidae,Accipitriformes,Aves,Turkey Vulture
Pandion haliaetus,Pandionidae,Accipitriformes,Aves,Balbuzard pecheur
Cygnus olor,Anatidae,Anseriformes,Aves,Mute Swan
Cygnus cygnus,Anatidae,Anseriformes,Aves,Whooper Swan
Tadorna ferruginea,Anatidae,Anseriformes,Aves,Ruddy Shelduck
Anser indicus,Anatidae,Anseriformes,Aves,Bar-headed Goose
Netta rufina,Anatidae,Anseriformes,Aves,Red-crested Pochard
Tadorna tadorna,Anatidae,Anseriformes,Aves,Common Shelduck
Anas acuta,Anatidae,Anseriformes,Aves,Northern Pintail
Aythya ferina,Anatidae,Anseriformes,Aves,Common Pochard
Aythya fuligula,Anatidae,Anseriformes,Aves,Tufted Duck
Aix galericulata,Anatidae,Anseriformes,Aves,Mandarin Duck
Anas falcata,Anatidae,Anseriformes,Aves,Falcated Duck
Cairina moschata,Anatidae,Anseriformes,Aves,Muscovy Duck
Anser cygnoides,Anatidae,Anseriformes,Aves,Swan Goose
Anas crecca,Anatidae,Anseriformes,Aves,Cerceta ala verde
Anas poecilorhyncha,Anatidae,Anseriformes,Aves,Indian Spot-billed Duck
Cygnus columbianus,Anatidae,Anseriformes,Aves,Cisne de tundra
Anser fabalis,Anatidae,Anseriformes,Aves,Bean Goose
Mergus squamatus,Anatidae,Anseriformes,Aves,Scaly-sided Merganser
Anas formosa,Anatidae,Anseriformes,Aves,Baikal Teal
Dendrocygna javanica,Anatidae,Anseriformes,Aves,Lesser Whistling Duck
Cygnus atratus,Anatidae,Anseriformes,Aves,Black Swan
Cygnus columbianus,Anatidae,Anseriformes,Aves,Cisne de tundra
Branta canadensis,Anatidae,Anseriformes,Aves,Canada Goose
Anser albifrons,Anatidae,Anseriformes,Aves,Ganso careto-mayor
Aythya americana,Anatidae,Anseriformes,Aves,Pato cabeza roja
Anser anser,Anatidae,Anseriformes,Aves,Greylag Goose
Anas platyrhynchos,Anatidae,Anseriformes,Aves,Mallard
Anseranas semipalmata,Anseranatidae,Anseriformes,Aves,Magpie Goose
Aegotheles cristatus,Aegothelidae,Apodiformes,Aves,Australian Owlet-Nightjar
Apus apus,Apodidae,Apodiformes,Aves,Common Swift
Chrysolampis mosquitus,Trochilidae,Apodiformes,Aves,Ruby Topaz
Amazilia versicolor,Trochilidae,Apodiformes,Aves,Versicolored Emerald
Archilochus colubris,Trochilidae,Apodiformes,Aves,Colibri garganta rubi
Apteryx haastii,Apterygidae,Apterygiformes,Aves,Great Spotted Kiwi
Bycanistes brevis,Bucerotidae,Bucerotiformes,Aves,Silvery-cheeked Hornbill
Penelopides panini,Bucerotidae,Bucerotiformes,Aves,Tarictic Hornbill
Aceros waldeni,Bucerotidae,Bucerotiformes,Aves,Walden's Hornbill
Bucorvus leadbeateri,Bucorvidae,Bucerotiformes,Aves,Southern Ground Hornbill
Caprimulgus indicus,Caprimulgidae,Caprimulgiformes,Aves,Gray Nightjar
Casuarius casuarius,Casuariidae,Casuariiformes,Aves,Southern Cassowary
Dromaius novaehollandiae,Dromaiidae,Casuariiformes,Aves,Emu
Synthliboramphus antiquus,Alcidae,Charadriiformes,Aves,Ancient Murrelet
Vanellus vanellus,Charadriidae,Charadriiformes,Aves,Northern Lapwing
Vanellus cinereus,Charadriidae,Charadriiformes,Aves,Grey-headed Lapwing
Haematopus ater,Haematopodidae,Charadriiformes,Aves,Blackish Oystercatcher
Jacana jacana,Jacanidae,Charadriiformes,Aves,Jacana noir
Jacana spinosa,Jacanidae,Charadriiformes,Aves,Jacana du Mexique
Chroicocephalus ridibundus,Laridae,Charadriiformes,Aves,Black-headed Gull
Larus crassirostris,Laridae,Charadriiformes,Aves,Black-tailed Gull
Ichthyaetus relictus,Laridae,Charadriiformes,Aves,Relict Gull
Larus brunnicephalus,Laridae,Charadriiformes,Aves,Brown-headed Gull
Larus dominicanus,Laridae,Charadriiformes,Aves,Gaviota dominicana
Scolopax rusticola,Scolopacidae,Charadriiformes,Aves,Becasse des bois
Arenaria interpres,Scolopacidae,Charadriiformes,Aves,Ruddy Turnstone
Stercorarius maccormicki,Stercorariidae,Charadriiformes,Aves,Labbe de McCormick
Ciconia nigra,Ciconiidae,Ciconiiformes,Aves,Black Stork
Ciconia boyciana,Ciconiidae,Ciconiiformes,Aves,Oriental Stork
Ciconia ciconia,Ciconiidae,Ciconiiformes,Aves,White Stork
Streptopelia chinensis,Columbidae,Columbiformes,Aves,Spotted Dove
Zenaida auriculata,Columbidae,Columbiformes,Aves,Eared Dove
Geotrygon violacea,Columbidae,Columbiformes,Aves,Violaceous Quail-Dove
Leptotila verreauxi,Columbidae,Columbiformes,Aves,Paloma arroyera
Columba livia,Columbidae,Columbiformes,Aves,Common Pigeon
Hemiphaga novaeseelandiae,Columbidae,Columbiformes,Aves,New Zealand Pigeon
Ceryle rudis,Alcedinidae,Coraciiformes,Aves,Pied Kingfisher
Todiramphus sanctus,Alcedinidae,Coraciiformes,Aves,Sacred Kingfisher
Geococcyx californianus,Cuculidae,Cuculiformes,Aves,Correcaminos norteno
Eudynamys taitensis,Cuculidae,Cuculiformes,Aves,Long-tailed Cuckoo
Rhynochetos jubatus,Rhynochetidae,Eurypygiformes,Aves,Kagu
Falco cherrug,Falconidae,Falconiformes,Aves,Saker Falcon
Falco peregrinus,Falconidae,Falconiformes,Aves,Faucon pelerin
Falco columbarius,Falconidae,Falconiformes,Aves,Faucon emerillon
Falco tinnunculus,Falconidae,Falconiformes,Aves,Common Kestrel
Falco sparverius,Falconidae,Falconiformes,Aves,American Kestrel
Micrastur gilvicollis,Falconidae,Falconiformes,Aves,Lined Forest Falcon
Crax rubra,Cracidae,Galliformes,Aves,Great Curassow
Crax daubentoni,Cracidae,Galliformes,Aves,Yellow-knobbed Curassow
Alectura lathami,Megapodiidae,Galliformes,Aves,Australian Brushturkey
Acryllium vulturinum,Numididae,Galliformes,Aves,Vulturine Guineafowl
Numida meleagris,Numididae,Galliformes,Aves,Helmeted Guineafowl
Colinus virginianus,Odontophoridae,Galliformes,Aves,Codorniz cotui
Arborophila ardens,Phasianidae,Galliformes,Aves,Hainan Hill Partridge
Crossoptilon mantchuricum,Phasianidae,Galliformes,Aves,Brown Eared Pheasant
Crossoptilon harmani,Phasianidae,Galliformes,Aves,Tibetan Eared Pheasant
Tetrastes sewerzowi,Phasianidae,Galliformes,Aves,Severtsov's Hazel Grouse
Caloperdix oculeus,Phasianidae,Galliformes,Aves,Ferruginous Partridge
Ptilopachus petrosus,Phasianidae,Galliformes,Aves,Stone Partridge
Polyplectron napoleonis,Phasianidae,Galliformes,Aves,Palawan Peacock-Pheasant
Lyrurus tetrix,Phasianidae,Galliformes,Aves,Black Grouse
Pavo cristatus,Phasianidae,Galliformes,Aves,Common Peafowl
Perdix hodgsoniae,Phasianidae,Galliformes,Aves,Tibetan Partridge
Tetraogallus tibetanus,Phasianidae,Galliformes,Aves,Tibetan Snowcock
Polyplectron germaini,Phasianidae,Galliformes,Aves,Germain's Peacock-Pheasant
Lophura swinhoii,Phasianidae,Galliformes,Aves,Swinhoe's Pheasant
Arborophila brunneopectus,Phasianidae,Galliformes,Aves,Bar-backed Hill Partridge
Ithaginis cruentus,Phasianidae,Galliformes,Aves,Blood Pheasant
Tetrastes bonasia,Phasianidae,Galliformes,Aves,Hazel Grouse
Tetraophasis szechenyii,Phasianidae,Galliformes,Aves,Szechenyi's Monal Partridge
Chrysolophus amherstiae,Phasianidae,Galliformes,Aves,Lady Amherst's Pheasant
Lophophorus sclateri,Phasianidae,Galliformes,Aves,Sclater's Monal
Perdix dauurica,Phasianidae,Galliformes,Aves,Daurian Partridge
Pucrasia macrolopha,Phasianidae,Galliformes,Aves,Koklass Pheasant
Tragopan temminckii,Phasianidae,Galliformes,Aves,Temminck's Tragopan
Alectoris chukar,Phasianidae,Galliformes,Aves,Chukar
Arborophila rufogularis,Phasianidae,Galliformes,Aves,Rufous-throated Hill Partridge
Bambusicola fytchii,Phasianidae,Galliformes,Aves,Mountain Bamboo Partridge
Phasianus colchicus,Phasianidae,Galliformes,Aves, / Phasianus colchicus
Tetraophasis obscurus,Phasianidae,Galliformes,Aves,Verreaux's Monal Partridge
Crossoptilon crossoptilon,Phasianidae,Galliformes,Aves,White Eared Pheasant
Crossoptilon auritum,Phasianidae,Galliformes,Aves,Blue Eared Pheasant
Meleagris gallopavo,Phasianidae,Galliformes,Aves,Guajolote norteno
Chrysolophus pictus,Phasianidae,Galliformes,Aves,Golden Pheasant
Lophophorus lhuysii,Phasianidae,Galliformes,Aves,Chinese Monal
Tragopan caboti,Phasianidae,Galliformes,Aves,Cabot's Tragopan
Polyplectron bicalcaratum,Phasianidae,Galliformes,Aves,Grey Peacock-Pheasant
Pavo muticus,Phasianidae,Galliformes,Aves,Green Peafowl
Lophura nycthemera,Phasianidae,Galliformes,Aves,Silver Pheasant
Gallus gallus,Phasianidae,Galliformes,Aves,Red Junglefowl
Gallus gallus,Phasianidae,Galliformes,Aves,Red Junglefowl
Gallus gallus,Phasianidae,Galliformes,Aves,Red Junglefowl
Gallus varius,Phasianidae,Galliformes,Aves,Green Junglefowl
Gallus sonneratii,Phasianidae,Galliformes,Aves,Grey Junglefowl
Gallus lafayetii,Phasianidae,Galliformes,Aves,Ceylon Junglefowl
Coturnix chinensis,Phasianidae,Galliformes,Aves,Blue-breasted Quail
Gallus gallus,Phasianidae,Galliformes,Aves,Red Junglefowl
Arborophila rufipectus,Phasianidae,Galliformes,Aves,Sichuan Hill Partridge
Francolinus pintadeanus,Phasianidae,Galliformes,Aves,Chinese Francolin
Bambusicola thoracica,Phasianidae,Galliformes,Aves,Chinese Bamboo Partridge
Syrmaticus soemmerringi,Phasianidae,Galliformes,Aves,Copper Pheasant
Syrmaticus reevesii,Phasianidae,Galliformes,Aves,Reeves's Pheasant
Syrmaticus humiae,Phasianidae,Galliformes,Aves,Bar-tailed Pheasant
Syrmaticus ellioti,Phasianidae,Galliformes,Aves,Elliot's Pheasant
Phasianus versicolor,Phasianidae,Galliformes,Aves,Green Pheasant
Lophura ignita,Phasianidae,Galliformes,Aves,Crested Fireback
Coturnix japonica,Phasianidae,Galliformes,Aves,Japanese Quail
Gavia stellata,Gaviidae,Gaviiformes,Aves,Colimbo menor
Gavia pacifica,Gaviidae,Gaviiformes,Aves,Colimbo pacifico
Grus vipio,Gruidae,Gruiformes,Aves,White-naped Crane
Anthropoides virgo,Gruidae,Gruiformes,Aves,Demoiselle Crane
Anthropoides paradiseus,Gruidae,Gruiformes,Aves,Blue Crane
Grus canadensis,Gruidae,Gruiformes,Aves,Grulla gris
Grus antigone,Gruidae,Gruiformes,Aves,Sarus Crane
Grus rubicunda,Gruidae,Gruiformes,Aves,Brolga
Grus nigricollis,Gruidae,Gruiformes,Aves,Black-necked Crane
Grus monacha,Gruidae,Gruiformes,Aves,Hooded Crane
Grus grus,Gruidae,Gruiformes,Aves,Common Crane
Grus americana,Gruidae,Gruiformes,Aves,Grulla blanca
Grus japonensis,Gruidae,Gruiformes,Aves,Japanese Crane
Grus leucogeranus,Gruidae,Gruiformes,Aves,Siberian Crane
Grus carunculatus,Gruidae,Gruiformes,Aves,
Balearica pavonina,Gruidae,Gruiformes,Aves,Black Crowned Crane
Balearica regulorum,Gruidae,Gruiformes,Aves,Grey Crowned Crane
Heliornis fulica,Heliornithidae,Gruiformes,Aves,Pajaro cantil
Porphyrio porphyrio,Rallidae,Gruiformes,Aves,Purple Swamphen
Gallirallus philippensis,Rallidae,Gruiformes,Aves,Banded Rail
Lewinia muelleri,Rallidae,Gruiformes,Aves,Auckland Rail
Eulabeornis castaneoventris,Rallidae,Gruiformes,Aves,Chestnut Rail
Fulica atra,Rallidae,Gruiformes,Aves,Eurasian Coot
Amaurornis phoenicurus,Rallidae,Gruiformes,Aves,White-breasted Waterhen
Amaurornis akool,Rallidae,Gruiformes,Aves,Brown Bush-hen
Gallinula chloropus,Rallidae,Gruiformes,Aves,Common Moorhen
Coturnicops exquisitus,Rallidae,Gruiformes,Aves,Swinhoe's Rail
Rallina eurizonoides,Rallidae,Gruiformes,Aves,Slaty-legged Crake
Gallirallus okinawae,Rallidae,Gruiformes,Aves,Okinawa Rail
Porphyrio hochstetteri,Rallidae,Gruiformes,Aves,Takahe
Otis tarda,Otididae,Otidiformes,Aves,Great Bustard
Acrocephalus scirpaceus,Acrocephalidae,Passeriformes,Aves,Eurasian Reed Warbler
Aegithalos glaucogularis,Aegithalidae,Passeriformes,Aves,
Aegithalos bonvaloti,Aegithalidae,Passeriformes,Aves,
Aegithalos fuliginosus,Aegithalidae,Passeriformes,Aves,Sooty Bushtit
Alauda arvensis,Alaudidae,Passeriformes,Aves,Eurasian Skylark
Pericrocotus ethologus,Campephagidae,Passeriformes,Aves,Long-tailed Minivet
Cardinalis cardinalis,Cardinalidae,Passeriformes,Aves,Cardenal rojo
Corvus macrorhynchos,Corvidae,Passeriformes,Aves,Large-billed Crow
Corvus hawaiiensis,Corvidae,Passeriformes,Aves,'Alala
Corvus brachyrhynchos,Corvidae,Passeriformes,Aves,American Crow
Pyrrhocorax graculus,Corvidae,Passeriformes,Aves,Alpine Chough
Pyrrhocorax pyrrhocorax,Corvidae,Passeriformes,Aves,Red-billed Chough
Corvus splendens,Corvidae,Passeriformes,Aves,House Crow
Corvus cornix,Corvidae,Passeriformes,Aves,
Podoces hendersoni,Corvidae,Passeriformes,Aves,Henderson's Ground Jay
Nucifraga columbiana,Corvidae,Passeriformes,Aves,Cascanueces americano
Urocissa erythrorhyncha,Corvidae,Passeriformes,Aves,Red-billed Blue Magpie
Cyanopica cyanus,Corvidae,Passeriformes,Aves,
Garrulus glandarius,Corvidae,Passeriformes,Aves,Eurasian Jay
Pica pica,Corvidae,Passeriformes,Aves,Black-billed Magpie
Emberiza rutila,Emberizidae,Passeriformes,Aves,Chestnut Bunting
Emberiza rustica,Emberizidae,Passeriformes,Aves,Rustic Bunting
Emberiza spodocephala,Emberizidae,Passeriformes,Aves,Black-faced Bunting
Emberiza cioides,Emberizidae,Passeriformes,Aves,Meadow Bunting
Emberiza aureola,Emberizidae,Passeriformes,Aves,Yellow-breasted Bunting
Emberiza pusilla,Emberizidae,Passeriformes,Aves,Little Bunting
Emberiza tristrami,Emberizidae,Passeriformes,Aves,Tristram's Bunting
Emberiza chrysophrys,Emberizidae,Passeriformes,Aves,Yellow-browed Bunting
Taeniopygia guttata,Estrildidae,Passeriformes,Aves,Zebra Finch
Smithornis sharpei,Eurylaimidae,Passeriformes,Aves,Grey-headed Broadbill
Fringilla coelebs,Fringillidae,Passeriformes,Aves,Common Chaffinch
Pseudonestor xanthophrys,Fringillidae,Passeriformes,Aves,Maui Honeycreeper
Oreomystis bairdi,Fringillidae,Passeriformes,Aves,Akikiki
Carduelis psaltria,Fringillidae,Passeriformes,Aves,Jilguero dominico
Loxioides bailleui,Fringillidae,Passeriformes,Aves,Honeycreeper
Pyrrhula pyrrhula,Fringillidae,Passeriformes,Aves,Eurasian Bullfinch
Hemignathus stejnegeri,Fringillidae,Passeriformes,Aves,'Amakihis
Loxia curvirostra,Fringillidae,Passeriformes,Aves,Picotuerto rojo
Hemignathus parvus,Fringillidae,Passeriformes,Aves,'Anianiau
Serinus dorsostriatus,Fringillidae,Passeriformes,Aves,White-bellied Canary
Vestiaria coccinea,Fringillidae,Passeriformes,Aves,'I'iwi
Carduelis pinus,Fringillidae,Passeriformes,Aves,Jilguero pinero
Melamprosops phaeosoma,Fringillidae,Passeriformes,Aves,Po'o'uli
Eremopsaltria mongolica,Fringillidae,Passeriformes,Aves,Mongolian Finch
Leucosticte arctoa,Fringillidae,Passeriformes,Aves,Asian Rosy Finch
Coccothraustes coccothraustes,Fringillidae,Passeriformes,Aves,Hawfinch
Loxops coccineus,Fringillidae,Passeriformes,Aves,'Akepa
Pinicola enucleator,Fringillidae,Passeriformes,Aves,Pine Grosbeak
Hemignathus flavus,Fringillidae,Passeriformes,Aves,Oahu Amakihi
Carpodacus roseus,Fringillidae,Passeriformes,Aves,Pallas's Rosefinch
Loxops caeruleirostris,Fringillidae,Passeriformes,Aves,Akekee
Leucosticte brandti,Fringillidae,Passeriformes,Aves,Brandt's Mountain Finch
Hemignathus munroi,Fringillidae,Passeriformes,Aves,'Akiapola'au
Himatione sanguinea,Fringillidae,Passeriformes,Aves,Apapane
Paroreomyza montana,Fringillidae,Passeriformes,Aves,Maui Alauahio
Hesperiphona vespertina,Fringillidae,Passeriformes,Aves,Evening Grosbeak
Loxops mana,Fringillidae,Passeriformes,Aves,Hawaii Creeper
Carpodacus erythrinus,Fringillidae,Passeriformes,Aves,Common Rosefinch
Serinus albogularis,Fringillidae,Passeriformes,Aves,White-throated Canary
Uragus sibiricus,Fringillidae,Passeriformes,Aves,Long-tailed Rosefinch
Fringilla montifringilla,Fringillidae,Passeriformes,Aves,Brambling
Carduelis spinus,Fringillidae,Passeriformes,Aves,Eurasian Siskin
Carduelis sinica,Fringillidae,Passeriformes,Aves,Grey-capped Greenfinch
Cecropis daurica,Hirundinidae,Passeriformes,Aves,Red-rumped Swallow
Progne chalybea,Hirundinidae,Passeriformes,Aves,Golondrina acerada
Tachycineta meyeni,Hirundinidae,Passeriformes,Aves,Chilean Swallow
Tachycineta leucorrhoa,Hirundinidae,Passeriformes,Aves,White-rumped Swallow
Tachycineta albiventer,Hirundinidae,Passeriformes,Aves,White-winged Swallow
Tachycineta albilinea,Hirundinidae,Passeriformes,Aves,Golondrina manglera
Tachycineta stolzmanni,Hirundinidae,Passeriformes,Aves,Tumbes Swallow
Tachycineta cyaneoviridis,Hirundinidae,Passeriformes,Aves,Bahama Swallow
Tachycineta euchrysea,Hirundinidae,Passeriformes,Aves,Golden Swallow
Tachycineta thalassina,Hirundinidae,Passeriformes,Aves,Golondrina verdemar
Tachycineta bicolor,Hirundinidae,Passeriformes,Aves,Golondrina bicolor
Hyliota flavigaster,Hyliotidae,Passeriformes,Aves,Yellow-bellied Hyliota
Euphagus cyanocephalus,Icteridae,Passeriformes,Aves,Brewer's Blackbird
Chrysomus cyanopus,Icteridae,Passeriformes,Aves,
Gymnomystax mexicanus,Icteridae,Passeriformes,Aves,Oriole Blackbird
Molothrus badius,Icteridae,Passeriformes,Aves,Baywing
Macroagelaius imthurni,Icteridae,Passeriformes,Aves,Golden-tufted Mountain Grackle
Pseudoleistes guirahuro,Icteridae,Passeriformes,Aves,Yellow-rumped Marshbird
Curaeus curaeus,Icteridae,Passeriformes,Aves,Austral Blackbird
Chrysomus thilius,Icteridae,Passeriformes,Aves,
Molothrus aeneus,Icteridae,Passeriformes,Aves,Bronzed Cowbird
Pseudoleistes virescens,Icteridae,Passeriformes,Aves,Brown-and-yellow Marshbird
Xanthopsar flavus,Icteridae,Passeriformes,Aves,Saffron-cowled Blackbird
Quiscalus quiscula,Icteridae,Passeriformes,Aves,Common Grackle
Amblyramphus holosericeus,Icteridae,Passeriformes,Aves,Scarlet-headed Blackbird
Agelaius phoeniceus,Icteridae,Passeriformes,Aves,Red-winged Blackbird
Dives dives,Icteridae,Passeriformes,Aves,Melodious Blackbird
Chrysomus icterocephalus,Icteridae,Passeriformes,Aves,Yellow-hooded Blackbird
Chrysomus xanthophthalmus,Icteridae,Passeriformes,Aves,
Oreopsar bolivianus,Icteridae,Passeriformes,Aves,Bolivian Blackbird
Chrysomus ruficapillus,Icteridae,Passeriformes,Aves,Chestnut-capped Blackbird
Gnorimopsar chopi,Icteridae,Passeriformes,Aves,Chopi Blackbird
Nesopsar nigerrimus,Icteridae,Passeriformes,Aves,Jamaican Blackbird
Lanius tephronotus,Laniidae,Passeriformes,Aves,Grey-backed Shrike
Garrulax perspicillatus,Leiothrichidae,Passeriformes,Aves,Masked Laughingthrush
